Ingredient ID,Ingredient,measurement,package size,price,double_observation,responsible,,,Conversion Table,,
InID1,151 proof rum,ml,700,40,,Zanis,,,unit,ml,g
InID2,7-up,ml,333,1.5,,Zanis,,,oz,,
InID3,añejo rum,ml,700,20,dark rum,Zanis,,,shot,,
InID4,absinthe,ml,700,23,,Zanis,,,part,,
InID5,absolut citron,ml,700,19,,Zanis,,,,,
InID6,absolut kurant,ml,700,19,,Zanis,,,,,
InID7,absolut peppar,ml,700,20,,Zanis,,,,,
InID8,absolut vodka,ml,700,20,vodka,Zanis,,,,,
InID9,advocaat,ml,700,8,,Zanis,,,,,
InID10,agave syrup,ml,350,3,,Zanis,,,,,
InID11,ale,ml,1000,1.5,,Zanis,,,,,
InID12,allspice,ml,300,3,,Zanis,,,,,
InID13,almond,ml,500,12,orgeat syrup,Zanis,,,,,
InID14,almond flavoring,ml,100,5,,Zanis,,,,,
InID15,amaretto,ml,700,19,,Zanis,,,,,
InID16,angelica root,ml,400,10,,Zanis,,,,,
InID17,angostura bitters,ml,100,9,orange bitters,Zanis,,,,,
InID18,anis,ml,700,24,,Zanis,,,,,
InID19,anise,ml,700,24,anis,Zanis,,,,,
InID20,anisette,ml,750,60,,Zanis,,,,,
InID21,aperol,ml,700,12,,Zanis,,,,,
InID22,apfelkorn,ml,500,8,,Zanis,,,,,
InID23,apple,g,1000,3,,Zanis,,,,,
InID24,apple brandy,ml,700,55,,Zanis,,,,,
InID25,apple cider,ml,350,11,,Zanis,,,,,
InID26,apple juice,ml,1500,1.5,,Zanis,,,,,
InID27,apple schnapps,ml,700,18,,Zanis,,,,,
InID28,applejack,ml,700,41,,Zanis,,,,,
InID29,apricot,ml,500,11,,Zanis,,,,,
InID30,apricot brandy,ml,550,16,,Zanis,,,,,
InID31,aquavit,ml,600,35,,Zanis,,,,,
InID32,asafoetida,g,10,8,,Zanis,,,,,
InID33,bacardi limon,ml,700,25,,Zanis,,,,,
InID34,bailey's irish cream,ml,700,17,baileys irish cream,Zanis,,,,,
InID35,baileys irish cream,ml,700,17,,Zanis,,,,,
InID36,banana,g,1000,2,,Zanis,,,,,
InID37,banana liqueur,ml,500,14,,Zanis,,,,,
InID38,beer,ml,330,1.5,,Zanis,,,,,
InID39,benedictine,ml,700,30,,Zanis,,,,,
InID40,berries,g,50,2,,Zanis,,,,,
InID41,bitter lemon,ml,150,16,,Zanis,,,,,
InID42,bitters,ml,150,16,bitter lemon,Zanis,,,,,
InID43,black pepper,g,45,2,,Zanis,,,,,
InID44,black sambuca,ml,700,20,,Zanis,,,,,
InID45,blackberry brandy,ml,700,25,,Zanis,,,,,
InID46,blackcurrant cordial,ml,700,10,,Zanis,,,,,
InID47,blackcurrant squash,ml,700,10,,Zanis,,,,,
InID48,blended whiskey,ml,700,30,,Zanis,,,,,
InID49,blue curacao,ml,700,9,,Zanis,,,,,
InID50,blueberry schnapps,ml,700,20,,Zanis,,,,,
InID51,bourbon,ml,700,40,,Zanis,,,,,
InID52,brandy,ml,700,40,,Zanis,,,,,
InID53,brown sugar,ml,500,1.5,,Zanis,,,,,
InID54,butter,g,250,2,,Zanis,,,,,
InID55,butterscotch schnapps,ml,700,17,,Zanis,,,,,
InID56,cachaca,ml,700,22,,Zanis,,,,,
InID57,campari,ml,700,18,,Zanis,,,,,
InID58,candy,ml,700,9,,Zanis,,,,,
InID59,cantaloupe,ml,700,24,,Zanis,,,,,
InID60,caramel coloring,g,25,4,,Zanis,,,,,
InID61,caramel sauce,g,350,11,,Zanis,,,,,
InID62,carbonated soft drink,ml,1000,2,lemonade,Zanis,,,,,
InID63,carbonated water,ml,1000,1,,Zanis,,,,,
InID64,cardamom,g,47,3,,Zanis,,,,,
InID65,carrot,g,1000,2,,Zanis,,,,,
InID66,cayenne pepper,g,50,4,pepper,Zanis,,,,,
InID67,celery salt,g,170,2,,Zanis,,,,,
InID68,chambord raspberry liqueur,ml,700,35,,Zanis,,,,,
InID69,champagne,ml,750,15,,Zanis,,,,,
InID70,cherries,g,400,2,,Zanis,,,,,
InID71,cherry,ml,400,2,cherry brandy,Zanis,,,,,
InID72,cherry brandy,ml,500,40,,Zanis,,,,,
InID73,cherry grenadine,ml,700,8,,Zanis,,,,,
InID74,cherry heering,ml,700,25,,Zanis,,,,,
InID75,cherry liqueur,ml,700,26,,Zanis,,,,,
InID76,chocolate,g,300,2,,Zanis,,,,,
InID77,chocolate ice-cream,ml,750,3,,Zanis,,,,,
InID78,chocolate liqueur,ml,500,16,,Zanis,,,,,
InID79,chocolate milk,ml,1000,2,,Zanis,,,,,
InID80,chocolate sauce,ml,250,3,,Zanis,,,,,
InID81,chocolate syrup,ml,300,3,,Zanis,,,,,
InID82,cider,ml,1380,5.25,,Harro,,,,,
InID83,cinnamon,g,50,0.86,,Harro,,,,,
InID84,cloves,g,15,1.43,,Harro,,,,,
InID85,club soda,ml,275,0.79,,Harro,,,,,
InID86,coca-cola,ml,1500,2.19,,Harro,,,,,
InID87,cocoa powder,g,250,1.94,,Harro,,,,,
InID88,coconut liqueur,ml,700,12.5,,Harro,,,,,
InID89,coconut milk,ml,400,2.75,,Harro,,,,,
InID90,coconut rum,ml,700,14.99,,Harro,,,,,
InID91,coconut syrup,ml,335,10.95,,Harro,,,,,
InID92,coffee,g,500,5.49,,Harro,,,,,
InID93,coffee brandy,ml,1000,10,,Harro,,,,,
InID94,coffee liqueur,ml,500,10.79,,Harro,,,,,
InID95,cognac,ml,700,22.99,,Harro,,,,,
InID96,cointreau,ml,700,22.49,,Harro,,,,,
InID97,condensed milk,g,397,1.79,,Harro,,,,,
InID98,coriander,g,15,1.39,,Harro,,,,,
InID99,corn syrup,ml,250,2.05,,Harro,,,,,
InID100,cornstarch,g,250,0.57,,Harro,,,,,
InID101,corona,ml,1420,10.39,,Harro,,,,,
InID102,cranberries,g,250,1.56,,Harro,,,,,
InID103,cranberry juice,ml,1000,1.79,,Harro,,,,,
InID104,cranberry vodka,ml,1000,23.95,,Harro,,,,,
InID105,cream,ml,250,1.39,,Harro,,,,,
InID106,cream of coconut,ml,500,2.4,,Harro,,,,,
InID107,creme de banane,ml,500,19.95,,Harro,,,,,
InID108,creme de cacao,ml,700,11.5,,Harro,,,,,
InID109,creme de cassis,ml,700,9.95,,Harro,,,,,
InID110,creme de mure,ml,700,17.5,,Harro,,,,,
InID111,crown royal,ml,750,11.69,,Harro,,,,,
InID112,cumin seed,g,37,2.09,,Harro,,,,,
InID113,curacao,ml,500,8.95,,Harro,,,,,
InID114,daiquiri mix,ml,700,12.19,,Harro,,,,,
InID115,dark creme de cacao,ml,700,11.95,,Harro,,,,,
InID116,dark rum,ml,700,16.99,,Harro,,,,,
InID117,demerara sugar,g,200,2.51,,Harro,,,,,
InID118,dr. pepper,ml,330,0.61,,Harro,,,,,
InID119,drambuie,ml,700,24.99,,Harro,,,,,
InID120,dry vermouth,ml,750,6.29,,Harro,,,,,
InID121,dubonnet rouge,ml,750,8.95,,Harro,,,,,
InID122,egg,piece,10,1.63,,Harro,,,,,
InID123,egg white,piece,10,1.63,,Harro,,,,,
InID124,egg yolk,piece,10,1.63,,Harro,,,,,
InID125,erin cream,ml,700,13.99,,Harro,,,,,
InID126,espresso,g,500,6.57,,Harro,,,,,
InID127,everclear,ml,750,18.99,grain alcohol,Harro,,,,,
InID128,fennel seeds,piece,1,0.89,,Harro,,,,,
InID129,firewater,ml,500,11.99,,Harro,,,,,
InID130,food coloring,g,45,2.31,,Harro,,,,,
