"","id","name","is_alcoholic","category","thumbnail","glass_type","era","instructions","ingredient","amount"
"1",0,"'57 Chevy with a White License Plate","Alcoholic","Cocktail","http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg","Highball glass","","1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir","Creme de Cacao","1 oz white"
"2",1,"1-900-FUK-MEUP","Alcoholic","Shot","http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg","Old-fashioned glass","","Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.","Absolut Kurant","1/2 oz"
"3",2,"110 in the shade","Alcoholic","Beer","http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg","Beer Glass","","Drop shooter in glass. Fill with beer","Lager","16 oz"
"4",3,"151 Florida Bushwacker","Alcoholic","Milk / Float / Shake","http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg","Beer mug","","Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.","Malibu rum","1/2 oz"
"5",4,"155 Belmont","Alcoholic","Cocktail","http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg","White wine glass","","Blend with ice. Serve in a wine glass. Garnish with carrot.","Dark rum","1 shot"
"6",5,"24k nightmare","Alcoholic","Shot","http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg","Shot glass","","Add over ice,shake and pour.","Goldschlager","1/2 oz"
"7",6,"252","Alcoholic","Shot","http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg","Shot glass","","Add both ingredients to shot glass, shoot, and get drunk quick","151 proof rum","1/2 shot Bacardi"
"8",7,"3 Wise Men","Alcoholic","Shot","http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg","Collins glass","","put them them in a glass... and slam it to tha head.","Jack Daniels","1/3 oz"
"9",8,"3-Mile Long Island Iced Tea","Alcoholic","Ordinary Drink","http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg","Collins Glass","","Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.","Gin","1/2 oz"
"10",9,"410 Gone","Alcoholic","Ordinary Drink","http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg","Collins Glass","","","Peach Vodka","2-3 oz"
"11",10,"50/50","Alcoholic","Ordinary Drink","http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg","Collins Glass","","fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.","Vanilla vodka","2 1/2 oz"
