,x,common_Felix,era_dt.drinks,Zanis_COMMON,common_final,double_Felix,DOUBLE_zanis
1,'57 Chevy with a White License Plate,1,,1,1,,
2,1-900-FUK-MEUP,1,,1,1,,
3,110 in the shade,1,,1,1,,
4,151 Florida Bushwacker,1,,1,1,,
5,155 Belmont,1,,1,1,,
6,24k nightmare,1,,3,2,,
7,252,1,,2,2,,
8,3 Wise Men,1,,2,2,,
9,3-Mile Long Island Iced Tea,3,,3,3,TRUE,
10,410 Gone,1,,3,2,,
11,50/50,1,,2,2,,
12,501 Blue,1,,2,2,,
13,69 Special,1,,2,2,,
14,747,1,,1,1,,
15,9 1/2 Weeks,1,,3,2,,
16,A Day at the Beach,1,,2,2,,
17,A Furlong Too Late,1,,1,1,,
18,A Gilligan's Island,1,,2,2,,
19,A Night In Old Mandalay,1,,2,2,,
20,A Piece of Ass,1,,1,1,,
21,A Splash of Nash,1,,2,2,,
22,A True Amaretto Sour,1,,2,2,,
23,A midsummernight dream,1,,2,2,,
24,A. J.,1,,2,2,,
25,A.D.M. (After Dinner Mint),1,,1,1,,
26,A1,1,,1,1,,
27,ABC,1,,1,1,,
28,ACID,1,,2,2,,
29,AT&T,1,,2,2,,
30,Abbey Cocktail,1,,1,1,,
31,Abbey Martini,1,,2,2,,
32,Abilene,1,,1,1,,
33,Absinthe #2,1,,2,2,,
34,Absolut Evergreen,1,,3,2,,
35,Absolut Sex,1,,3,2,,
36,Absolut Stress #2,1,,2,2,,
37,Absolut Summertime,1,,2,2,,
38,Absolut limousine,1,,2,2,,
39,Absolutely Cranberry Smash,1,,2,2,,
40,Absolutely Fabulous,1,,2,2,,
41,Absolutly Screwed Up,1,,2,2,,
42,Acapulco,1,,3,3,,
43,Ace,1,,2,2,,
44,Adam,1,,1,1,,
45,Adam & Eve,1,,2,2,,
46,Adam Bomb,1,,2,2,,
47,Adam Sunrise,1,,2,2,,
48,Addington,1,,1,1,,
49,Addison,1,,2,2,,
50,Addison Special,1,,1,1,,
51,Adios Amigos Cocktail,1,,3,2,,
52,Adonis Cocktail,1,,1,1,,
53,Affair,1,,2,2,,
54,Affinity,1,,2,2,,
55,After Dinner Cocktail,1,,2,2,,
56,After Five,1,,2,2,,
57,After Supper Cocktail,1,,2,2,,
58,After sex,1,,3,2,,
59,Afterglow,1,,3,2,,
60,Afternoon,1,,3,2,,
61,Alabama Slammer,1,,2,2,,
62,Alaska Cocktail,1,Unforgettables,2,2,,
63,Alexander,1,,2,2,,
64,Alfie Cocktail,1,,2,2,,
65,Algonquin,1,,2,2,,
66,Alice Cocktail,1,,3,3,,
67,Alice in Wonderland,1,,2,2,,
68,Allegheny,1,,2,2,,
69,Allies Cocktail,1,,2,2,,
70,Almeria,1,,2,2,,
71,Almond Chocolate Coffee,1,,2,2,,
72,Almond Joy,1,,2,2,,
73,Aloha Fruit punch,1,,2,2,,
74,Amaretto And Cream,1,,2,2,,
75,Amaretto Liqueur,2,,3,3,,
76,Amaretto Mist,1,,3,2,,
77,Amaretto Rose,1,,2,2,,
78,Amaretto Shake,1,,3,2,,
79,Amaretto Sour,1,,2,2,,
80,Amaretto Stinger,1,,2,2,,
81,Amaretto Stone Sour,1,,2,2,,
82,Amaretto Stone Sour #3,1,,3,2,,
83,Amaretto Sunrise,1,,2,2,,
84,Amaretto Sunset,1,,3,2,,
85,Amaretto Sweet & Sour,1,,2,2,,
86,Amaretto Tea,2,Unforgettables,2,2,,
87,Americano,3?,Unforgettables,2,2,,
88,Angel Face,1,,3,2,,
89,Angelica Liqueur,1,,2,2,,
90,Apello,1,,2,2,,
91,Apple Berry Smoothie,2?,,3,2,,
92,Apple Cider Punch #1,1,,3,3,,
93,Apple Grande,1,,2,2,,
94,Apple Karate,1,,2,2,,
95,Apple Pie with A Crust,1,,3,2,,
96,Apple Slammer,1,,2,2,,
97,Applecar,1,,2,2,,
98,Applejack,1,,3,2,,
99,Apricot Lady,1,,2,2,,
100,Apricot punch,1,,3,2,,
101,Archbishop,1,,1,1,,
102,Arctic Fish,1,,2,2,,
103,Arctic Mouthwash,1,,3,3,,
104,Arise My Love,1,,3,3,,
105,Arizona Antifreeze,1,,2,2,,
106,Arizona Stingers,1,,2,2,,
107,Arizona Twister,1,,2,2,,
108,Army special,1,,2,2,,
109,Arthur Tompkins,1,,3,2,,
110,Artillery,1,,2,2,,
111,Artillery Punch,1,,3,2,,
112,Atlantic Sun,1,,3,2,,
113,Atomic Lokade,1,,3,2,,
114,Auburn Headbanger,1,,1,1,,
115,Autodafé,1,,3,2,,
116,Avalanche,1,,3,2,,
117,Avalon,1,,3,2,,
118,Aviation,1,Unforgettables,2,2,,
119,Aztec Punch,1,,2,2,,
120,B-52,1,New Era Drinks,3,2,,
121,B-53,1,,2,2,,
122,Baby Eskimo,1,,2,2,,
123,Baby Guinness,1,,2,2,,
124,Bacardi Cocktail,1,Unforgettables,2,2,,
125,Bailey's Dream Shake,1,,2,2,,
126,Balmoral,1,,2,2,,
127,Banana Cantaloupe Smoothie,1,,2,2,,
128,Banana Daiquiri,1,,3,2,,
129,Banana Milk Shake,3,,3,3,,
130,Banana Strawberry Shake,3,,3,2,,
131,Banana Strawberry Shake Daiquiri-type,1,,2,2,,
132,Barracuda,2,New Era Drinks,2,2,,
133,Belgian Blue,2,,1,1,,
134,Bellini,2,Contemporary Classics,2,2,,
135,Bellini Martini,2,Contemporary Classics,2,2,,
136,Bermuda Highball,1,,1,1,,
137,Berry Deadly,1,,3,2,,
138,Between The Sheets,1,Unforgettables,2,2,,
139,Bible Belt,1,,3,2,,
140,Big Red,1,,2,2,,
141,Black & Tan,1,,2,2,,
142,Black Forest Shake,1,,1,1,,
143,Black Russian,2,,3,3,,
144,Black and Brown,1,Contemporary Classics,1,1,,
145,Blackthorn,1,,1,1,,
146,Bleeding Surgeon,1,,2,2,,
147,Blind Russian,1,,2,2,,
148,Bloody Maria,1,,3,2,,
149,Bloody Mary,3,Contemporary Classics,3,3,,
150,Blue Lagoon,2,,2,2,,
151,Blue Margarita,1,,1,1,,
152,Blue Mountain,1,,1,1,,
153,Bluebird,1,,1,1,,
154,Bob Marley,1,,2,2,,
155,Bobby Burns Cocktail,1,,2,2,,
156,Boomerang,2,,3,3,,
157,Boozy Snickers Milkshake,1,,1,1,,
158,Bora Bora,1,,2,2,,
159,Boston Sidecar,1,,2,2,,
160,Boston Sour,2,,3,3,,
161,Bourbon Sling,2,,1,1,,
162,Bourbon Sour,2,,3,3,,
163,Boxcar,1,,1,1,,
164,Brain Fart,1,,3,2,,
165,Brainteaser,1,,2,2,,
166,Bramble,1,New Era Drinks,3,2,,
167,Brandon and Will's Coke Float,1,,1,1,,
168,Brandy Alexander,1,,2,2,,
169,Brandy Cobbler,1,,2,2,,
170,Brandy Flip,1,,3,2,,
171,Brandy Sour,1,,3,2,,
172,Brave Bull Shooter,1,,2,2,,
173,Bruce's Puce,1,,2,2,,
174,Bruised Heart,1,,3,2,,
175,Bubble Gum,1,,2,2,,
176,Buccaneer,1,,1,1,,
177,Bumble Bee #1,1,,2,2,,
178,Butter Baby,1,,1,1,,
179,Cafe Savoy,1,,3,2,,
180,Caipirinha,3,Contemporary Classics,3,3,,
181,Caipirissima,2,,2,2,,
182,California Lemonade,1,,3,2,,
183,California Root Beer,1,,3,3,,
184,Campari Beer,1,,1,1,,
185,Caribbean Boilermaker,1,,1,1,,
